years:,40Y,39.5Y,39Y,38.5Y,38Y,37.5Y,37Y,36.5Y,36Y,35.5Y,35Y,34.5Y,34Y,33.5Y,33Y,32.5Y,32Y,31.5Y,31Y,30.5Y,30Y,29.5Y,29Y,28.5Y,28Y,27.5Y,27Y,26.5Y,26Y,25.5Y,25Y,24.5Y,24Y,23.5Y,23Y,22.5Y,22Y,21.5Y,21Y,20.5Y,20Y,19.5Y,19Y,18.5Y,18Y,17.5Y,17Y,16.5Y,16Y,15.5Y,15Y,14.5Y,14Y,13.5Y,13Y,12.5Y,12Y,11.5Y,11Y,10.5Y,10Y,9.5Y,9Y,8.5Y,8Y,7.5Y,7Y,6.5Y,6Y,5.5Y,5Y,4.5Y,4Y,3.5Y,3Y,2.5Y,2Y,1.5Y,1Y,6M
1990-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.662002626576568,8.935028417925253,9.00780330564486,9.080974282579088,9.154565311596402,9.228598243389232,9.303088413072288,9.378040988813646,9.453447003447645,9.5292803288997,9.605495839615735,9.682027394620704,9.758784559853025,9.835649292794075,9.912475085028351,9.989085242673935,10.065272821286792,10.14080278919226,10.21541740626666,10.28884226354823,10.360797042113408,10.431010019268653,10.499236713109518,10.56528751746915,10.629055516734804,10.690549955976376,10.749959157437244,10.807742791310115,10.864725633337287,10.922188419687464,10.981960945243731,11.046542650312611,11.119282959932558,11.20464880918821,11.308563253568403,11.438821674177053,11.605486383868094,11.821104747307245,12.10101132938493,12.46462890532527,12.937666827452583,13.559833792656109,13.559833792656109
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34077728960643,9.419309769887015,9.497939585005899,9.576671320588149,9.65550790952529,9.734448271478668,9.813484881062521,9.892600843042793,9.971767441377338,10.050943059780638,10.130072445546949,10.209084734377996,10.28789131563783,10.366386434626246,10.444447554468697,10.52193593799824,10.598699027834805,10.674575111208856,10.749399137244934,10.823010979252574,10.89526515419683,10.966042377129805,11.035267404144502,11.10292767991292,11.16909065731516,11.233941791684353,11.29784665254694,11.36142535289525,11.425634800978075,11.491863345238691,11.562052602169002,11.63887671627885,11.725998485458003,11.828381664097485,11.952675191719072,12.107546801819526,12.303571777407095,12.55238403648592,12.865682935641216,13.251850180444572,13.710184920294498,13.710184920294498
1990-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.871626264205341,9.95076711901393,10.030344997251529,10.110389902387062,10.190932229439902,10.272000594825482,10.353619030269506,10.435804066484883,10.518561889863255,10.601885830592522,10.68575230052889,10.770117507464601,10.854914036671966,10.940046340551838,11.025386626217195,11.110772058384264,11.196002942754031,11.28084296356668,11.365021191426756,11.448235891572184,11.53016617547131,11.61048345801309,11.68886641922629,11.76502912483218,11.838744805548925,11.909895232416012,11.978549666974141,12.04505395237265,12.1101170801719,12.174908650139864,12.241186446462015,12.311468372817764,12.389263308735663,12.479340296771829,12.588047042259864,12.723592825072798,12.895925208818625,13.115596014390103,13.391360263883097,13.723558525635598,14.088371125208448,14.088371125208448
1990-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23608365384397,10.339213775728476,10.442307087925894,10.545356529196807,10.648350779897791,10.751271541411217,10.854089280320888,10.956759598957964,11.05921919658895,11.161383021079786,11.26314168862106,11.364357880814836,11.464861809194522,11.564448108974236,11.662874371428511,11.759859350235502,11.855083657862334,11.948192718088057,12.038801762632852,12.12650181251382,12.210883486261908,12.291544906855345,12.368108946786474,12.440262156689815,12.507777901437386,12.570556963053122,12.628694087670638,12.682557651669665,12.732873514279587,12.780819561452764,12.828139578421172,12.877287401843658,12.931621921705098,12.99565368579548,13.075367883243082,13.17856947679583,13.314852492158893,13.494280178145093,13.724548202920717,14.004931811017316,14.3112847088894,14.3112847088894
1990-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.666185589829022,9.753376434873287,9.840632733950521,9.927955265156934,10.01534089008038,10.102780135450853,10.190252198421778,10.277721108743249,10.365131270382246,10.452404040136567,10.53943386502116,10.626083792188625,10.712180252812704,10.79750773609982,10.881804508661087,10.96475895058649,11.046008920725704,11.125143319535937,11.20170735745399,11.275204434409584,11.345122665837229,11.410945999750512,11.472167663726694,11.528338206645271,11.579098202270218,11.624227427076509,11.663731930436445,11.697952379993177,11.72767913398027,11.754280801893803,11.779850200138524,11.807393378944123,11.841096417919392,11.88669482932093,11.95203412218566,12.047910428122846,12.189059422817209,12.394706489498452,12.68904547578978,13.101196733511157,13.658960592511594,13.658960592511594
1990-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.448609816345009,9.519349622135492,9.590381983607617,9.66172637731613,9.733401011723045,9.805421479704949,9.877796658794324,9.950525508055271,10.023593165452123,10.096968080036447,10.17059847084609,10.244408291136567,10.318293131895416,10.392115520834905,10.465700202456668,10.538829982666151,10.611243417906934,10.682634497951563,10.752657140974078,10.820926214084597,10.88703513131608,10.950565691603689,11.011092520260794,11.068214137366361,11.121576727975205,11.170906544579392,11.216082056287394,11.25723383831831,11.294852164516097,11.329905162681738,11.363977865969225,11.399451729276223,11.439744685706398,11.489634695914752,11.555757774145855,11.647390610076092,11.777423505627654,11.963198737557796,12.227885408890153,12.606166516783778,13.159311624532128,13.159311624532128
1990-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41521164492732,9.58002092549838,9.657316618685396,9.734849154776317,9.81263042544242,9.890668779471756,9.968964347752227,10.047505054921837,10.126262089752672,10.205186243189315,10.28420397309231,10.3632126136289,10.442075423678256,10.5206159078432,10.598612230494165,10.675792334817904,10.751831060141178,10.826349310888943,10.898918662485281,10.969061910507184,11.036269997459675,11.100017554896308,11.159765107541135,11.214991144419914,11.26522413848413,11.310073913136572,11.349302450758993,11.38292413128234,11.411313383057339,11.435317205812707,11.456365993218435,11.476606507578392,11.499108485887342,11.528171391157999,11.569809437857003,11.632584089804805,11.728793531357596,11.87566918866411,12.09713357522674,12.43139107570334,12.955317539144048,13.816087378868284
1990-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.801069687633147,9.894883522902186,9.988306441362088,10.0813020002243,10.173825777232114,10.265820956396714,10.357213793764712,10.447909241140625,10.537786712647943,10.626697079991064,10.714459890471415,10.800858482012497,10.885634245684324,10.968483243732736,11.04905153987779,11.126930542598025,11.201654940788758,11.272702891953346,11.339494712087747,11.401404827090685,11.457777605879501,11.50792523836555,11.551152022620105,11.586789856545332,11.614223195420852,11.632940559704386,11.642614777618938,11.64321030191517,11.635114603720762,11.619310566501847,11.597611918467567,11.57299765314825,11.550034949947172,11.535434078999861,11.539017897208506,11.575297701085178,11.665675666841327,11.841346249672275,12.149977398042068,12.669740225040451,13.502328584557151
1990-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.824892335758774,9.92103185051157,10.01675191989339,10.112014334319024,10.20677286379718,10.30096936711348,10.394528932510433,10.487354813881394,10.579323210122098,10.670280808729888,10.760044773634029,10.84839910531245,10.935088932205751,11.019814735776807,11.102233389367711,11.181956048960192,11.258544726290927,11.331512609487289,11.400323479054187,11.46439996741247,11.523141911867434,11.575926300503848,11.622126399773187,11.661150661933606,11.69246936753297,11.715664749341517,11.730510578374522,11.737077042432782,11.735853114363104,11.727902455576157,11.71507560590476,11.7003188676935,11.688092842026284,11.68493095075406,11.700409066614293,11.74868497939434,11.85035858927181,12.034271130214035,12.342084095877764,12.837362487957837,13.576478997617162
1990-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.863211635089634,9.939594796877348,10.015178006678124,10.089895175477476,10.163670609304376,10.23641634358155,10.308028332195569,10.378383065028416,10.447333768477566,10.514708657973225,10.580314221216524,10.64393452913199,10.705327428582569,10.764220588943287,10.82031552051899,10.873291689917817,10.922805695978752,10.96849386186885,11.009974290599361,11.046850394646428,11.078721818756987,11.105187208720663,11.12585332361941,11.140358044563587,11.148383265978294,11.149674788207912,11.144082816353412,11.131621217564701,11.112534384235062,11.087376433038534,11.057116245481797,11.023313709620073,10.988410991504946,10.95607859339195,10.931715559987706,10.923344337506956,10.942806066590627,11.006667920315445,11.139773653127362,11.392419707456122,12.378994559251746
1990-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.536861458890113,9.59146520792175,9.645882543128316,9.700095935052396,9.754083276275493,9.807816112346039,9.861256204871575,9.914353083489921,9.967041458709364,10.019239521294203,10.070850536193275,10.121762877114978,10.171847563104963,10.220955329210982,10.268916941906863,10.315546311373573,10.360638275747117,10.40396649842228,10.445284269020856,10.484323609035227,10.520797086713989,10.554395486332169,10.584785345729065,10.611612440095898,10.634493683004795,10.653002753059134,10.666671346803573,10.675018097254906,10.67760296672785,10.674114471952,10.66453252781182,10.649446528614108,10.630584718572111,10.611409871778616,10.597772508415838,10.598833037071866,10.627880946318978,10.70081939841882,10.832467810440034,11.040847363893933,11.040847363893933
